date,date_in_file,date_title,layout,pop_total,pop_prisons,pop_irc,pop_male,pop_female,uoc_total,uoc_prisons,uoc_irc,headroom,headroom_calc,operating_margin,hdc,police_cells,ya_pop_total,ya_uoc_total,title,url,local,error
2011-05-13,2011-05-13,2011-05-13,D2,84761.0,84194.0,567.0,80653.0,4108.0,87735.0,87141.0,594.0,2974.0,2974.0,2000.0,2695.0,,,,Population Bulletin - Weekly 13 May 2011,https://assets.publishing.service.gov.uk/media/5a7c3c2aed915d7d70d1d7c9/prison-poulation-13-may-2011.doc,raw/weekly_doc_txt/5a7c3c2aed915d7d70d1d7c9_prison-poulation-13-may-2011.html,
2011-11-05,2011-11-05,2011-11-05,D2,87749.0,86966.0,783.0,83545.0,4204.0,89405.0,88413.0,992.0,1656.0,1656.0,2000.0,2760.0,,,,Population Bulletin - Weekly 05 November 2011,https://assets.publishing.service.gov.uk/media/5a7c501fe5274a1b00422eac/prison-population-05-11-11.doc,raw/weekly_doc_txt/5a7c501fe5274a1b00422eac_prison-population-05-11-11.html,
2011-05-27,2011-05-27,2011-05-27,D2,85136.0,84529.0,607.0,80964.0,4172.0,87837.0,87163.0,674.0,2701.0,2701.0,2000.0,2696.0,,,,Population Bulletin - Weekly 27 May 2011,https://assets.publishing.service.gov.uk/media/5a7c57d940f0b62dffde17c4/prison-poulation-27-may-2011.doc,raw/weekly_doc_txt/5a7c57d940f0b62dffde17c4_prison-poulation-27-may-2011.html,
2011-01-28,2011-01-28,2011-01-28,D1,84145.0,,,80079.0,4066.0,88009.0,,,3864.0,3864.0,2000.0,2639.0,,83378.0,86313.0,Population Bulletin - Weekly 28 January 2011,https://assets.publishing.service.gov.uk/media/5a7c60f5e5274a7ee256710a/10004C3B28012011_web_report.doc,raw/weekly_doc_txt/5a7c60f5e5274a7ee256710a_10004C3B28012011_web_report.html,
2011-06-10,2011-06-10,2011-06-10,D2,85224.0,84593.0,631.0,81055.0,4169.0,87871.0,87157.0,714.0,2647.0,2647.0,2000.0,2729.0,,,,Population Bulletin - Weekly 10 June 2011,https://assets.publishing.service.gov.uk/media/5a7c62b4ed915d6969f4481c/prison-poulation-10-june-2011.doc,raw/weekly_doc_txt/5a7c62b4ed915d6969f4481c_prison-poulation-10-june-2011.html,
2011-11-25,2011-11-18,2011-11-25,D2,88166.0,87348.0,818.0,83941.0,4225.0,89384.0,88392.0,992.0,1218.0,1218.0,2000.0,2725.0,,,,Population Bulletin - Weekly 25 November 2011,https://assets.publishing.service.gov.uk/media/5a7c663de5274a7ee501ab41/prison-population-25-11-11.doc,raw/weekly_doc_txt/5a7c663de5274a7ee501ab41_prison-population-25-11-11.html,
2011-09-23,2011-09-23,2011-09-23,D2,87214.0,86596.0,618.0,82961.0,4253.0,88818.0,88200.0,618.0,1604.0,1604.0,2000.0,2706.0,,,,Population Bulletin - Weekly 23 September 2011,https://assets.publishing.service.gov.uk/media/5a7c6684ed915d6969f449be/prison-population-23-sept-2011.doc,raw/weekly_doc_txt/5a7c6684ed915d6969f449be_prison-population-23-sept-2011.html,
2011-09-02,2011-09-02,2011-09-02,D2,86710.0,86137.0,573.0,82455.0,4255.0,88554.0,87670.0,884.0,1844.0,1844.0,2000.0,2783.0,,,,Population Bulletin - Weekly 2 September 2011,https://assets.publishing.service.gov.uk/media/5a7c7340ed915d48c240fd08/prison-population-2-sept-2011.doc,raw/weekly_doc_txt/5a7c7340ed915d48c240fd08_prison-population-2-sept-2011.html,
2011-08-26,2011-08-26,2011-08-26,D2,86821.0,86233.0,588.0,82532.0,4289.0,88338.0,87454.0,884.0,1517.0,1517.0,2000.0,2781.0,,,,Population Bulletin - Weekly 26 August 2011,https://assets.publishing.service.gov.uk/media/5a7c74fded915d48c240fdb4/prison-population-26-aug-2011.doc,raw/weekly_doc_txt/5a7c74fded915d48c240fdb4_prison-population-26-aug-2011.html,
2011-03-04,2007-11-09,2011-03-04,D1,85342.0,,,81089.0,4253.0,88338.0,,,2996.0,2996.0,2000.0,2667.0,,84073.0,86459.0,Population Bulletin - Weekly 04 March 2011,https://assets.publishing.service.gov.uk/media/5a7c7ba8e5274a559005a2b9/10004C6604032011_web_report.doc,raw/weekly_doc_txt/5a7c7ba8e5274a559005a2b9_10004C6604032011_web_report.html,
